date,AAPL,MSFT,JPM,V,RTX,PG,GS,NKE,DIS,AXP,HD,INTC,WMT,IBM,MRK,UNH,KO,CAT,TRV,JNJ,CVX,MCD,VZ,CSCO,XOM,BA,MMM,PFE,WBA,DD
2015-12-15,25.59145927429199,50.37175369262695,56.68792343139648,75.85102844238281,51.92795944213867,68.58758544921875,167.0399627685547,60.61330032348633,105.81658935546876,64.6324462890625,116.86651611328124,30.75495147705078,52.92569351196289,109.78540802001952,45.51735305786133,108.70550537109376,36.55963516235352,56.716468811035156,100.51287841796876,90.98857879638672,74.79082489013672,102.74752807617188,36.47433090209961,22.675989151000977,62.71375274658203,130.40571594238278,128.0677490234375,25.379262924194336,71.66743469238281,59.28659057617188
2015-12-16,25.788330078125,51.22040557861328,57.9142951965332,77.04735565185547,52.96918869018555,69.7152099609375,170.89456176757812,61.70672225952149,107.35440063476562,65.14840698242189,118.29964447021484,30.8598575592041,53.51138687133789,110.98054504394531,46.48104476928711,109.8331298828125,37.21324920654297,57.54066848754883,101.72066497802734,91.9672393798828,75.33909606933594,103.54715728759766,37.24306106567383,23.00535774230957,62.49267196655274,131.81179809570312,129.64122009277344,25.63101005554199,73.936767578125,59.462440490722656
2015-12-17,25.24171638488769,50.828025817871094,56.8422966003418,75.9185791015625,52.26761245727539,69.11265563964844,167.59063720703125,61.37208938598633,105.6750717163086,64.09803771972656,116.91992950439452,30.518917083740234,52.33999633789063,108.95677185058594,45.31084442138672,110.19359588623048,36.91615676879883,55.14455032348633,100.5927963256836,90.5604248046875,73.00089263916016,103.24840545654295,36.91474914550781,22.56619453430176,61.55311584472656,129.54240417480472,128.69023132324222,25.43433380126953,72.7409896850586,58.91141891479492
2015-12-18,24.55844306945801,49.39534759521485,55.2299919128418,73.63202667236328,51.41570281982422,67.25334930419922,161.05625915527344,60.57088851928711,101.6277084350586,62.53176879882813,115.97637939453124,29.60972595214844,52.22462463378906,107.4827880859375,44.433189392089844,107.0510025024414,36.0757942199707,55.3229866027832,97.8042221069336,89.08369445800781,72.41229248046875,102.5102767944336,36.48234558105469,22.1861515045166,61.01622772216797,124.22048950195312,127.02162170410156,25.16685485839844,72.01657104492188,58.18457412719727
2015-12-21,24.85954284667969,50.03413009643555,56.20766067504883,74.45210266113281,52.12284469604492,67.95920562744139,163.13034057617188,61.17415237426758,100.56159973144531,63.02007293701172,116.8843002319336,29.93318748474121,52.8458251953125,107.96084594726562,44.6310920715332,108.52064514160156,36.3134765625,55.43343353271485,98.52357482910156,88.76039123535156,71.95271301269531,103.41534423828124,36.75459289550781,22.49863052368164,61.00042724609375,125.39522552490234,127.50576782226562,25.536609649658203,74.09385681152344,59.75554275512695
2015-12-22,24.836381912231445,50.50862884521485,56.32772445678711,74.65469360351562,52.82442092895508,68.51869964599611,165.24122619628906,62.14030456542969,100.703125,63.4346809387207,117.3917007446289,30.36155128479004,53.72436904907226,109.89695739746094,44.82899856567383,108.5483627319336,36.74638366699219,58.12693786621094,99.89122009277344,89.7477798461914,72.7831802368164,103.44172668457031,37.10693359375,22.70976829528809,61.30835342407226,126.71236419677734,128.7939453125,25.58380699157715,75.0714340209961,60.37689208984375
2015-12-23,25.1560173034668,50.93751907348633,57.22821426391602,75.79314422607422,53.62065505981445,68.79415130615234,167.90267944335938,60.66043472290039,99.58985900878906,64.46658325195311,118.486572265625,30.59758949279785,54.21245574951172,110.3829574584961,45.58618545532226,109.70372009277344,37.06894302368164,59.38447570800781,100.5395278930664,90.42936706542969,75.6374282836914,104.39073181152344,37.59539031982422,23.140483856201172,63.31380081176758,128.20745849609378,130.68736267089844,25.615278244018555,75.10636138916016,61.58442687988281
2015-12-24,25.021677017211914,50.80064010620117,57.1167221069336,75.50370788574219,53.62065505981445,68.68227386474611,167.46217346191406,59.552894592285156,99.8729019165039,64.64166259765625,118.29964447021484,30.58011054992676,53.981727600097656,110.15191650390624,45.474327087402344,109.38021087646484,36.95859909057617,58.95112991333008,100.5927963256836,90.63033294677734,74.2183609008789,104.18860626220705,37.40321350097656,23.123592376708984,62.634803771972656,127.73580932617188,130.71331787109378,25.66247749328613,75.4642105102539,61.32650375366211
2015-12-28,24.741418838500977,51.05615615844727,56.92805099487305,75.7641830444336,53.50372695922852,68.79415130615234,166.6820831298828,60.14672470092773,101.18427276611328,64.27311706542969,118.1038055419922,30.536399841308594,53.91072463989258,109.6419906616211,45.46572875976562,109.3709945678711,36.91615676879883,58.27138900756836,100.779296875,90.19341278076172,72.8557357788086,104.3467788696289,37.43523406982422,23.06447029113769,62.16896057128906,128.63468933105472,130.73922729492188,25.50513458251953,74.92305755615234,61.23271560668945
2015-12-29,25.186124801635746,51.603675842285156,57.519813537597656,76.42022705078125,54.16076278686523,69.17292022705078,168.4349365234375,60.57088851928711,101.02389526367188,65.0009765625,119.01174926757812,30.98224449157715,54.67390823364258,111.37096405029295,45.89594650268555,110.7481689453125,37.10289764404297,58.7896957397461,102.14693450927734,90.90119934082031,73.57333374023438,105.50668334960938,37.80358505249024,23.452964782714844,62.50059509277344,131.135498046875,132.18305969238278,25.82769012451172,75.77843475341797,62.43915557861328
2015-12-30,24.85722923278809,51.384666442871094,57.108154296875,75.59053039550781,53.9547348022461,68.92327117919922,167.0399627685547,59.618873596191406,100.32574462890624,64.64166259765625,118.7002182006836,30.588851928710934,54.73603057861328,111.02040100097656,45.8185043334961,109.9162826538086,36.98405838012695,58.36486053466797,101.49864959716795,90.6827621459961,72.6380615234375,104.94430541992188,37.45125961303711,23.250274658203125,61.67155838012695,130.29890441894528,131.3358154296875,25.764751434326172,75.40312194824219,61.10261154174805
2015-12-31,24.38009262084961,50.62727355957031,56.62789916992188,74.81871032714844,53.492591857910156,68.35515594482422,165.40638732910156,58.91192626953125,99.1370086669922,64.07963562011719,117.72106170654295,30.11677169799805,54.39880752563477,109.64995574951172,45.44852066040039,108.7332000732422,36.466270446777344,57.74457168579102,100.22869110107422,89.75651550292969,72.5332260131836,103.81075286865234,37.010841369628906,22.93779182434082,61.54523086547852,128.67916870117188,130.23779296875,25.39499473571777,74.32952880859375,60.88970947265625
2016-01-04,24.400941848754886,50.00674438476562,54.92707061767578,73.03384399414062,53.21418762207031,67.45993804931639,162.57052612304688,57.98818969726562,97.1557846069336,62.27378845214844,116.67070770263672,29.714635848999023,54.54078674316406,108.31937408447266,45.15596008300781,107.64253997802734,35.990909576416016,57.770057678222656,97.66213989257812,87.79920959472656,71.63825225830078,103.31868743896484,36.73056411743164,22.47818756103516,61.15834426879883,125.03923034667969,126.93515014648438,25.135385513305664,72.4878921508789,59.05640029907226
2016-01-05,23.789470672607425,50.23487854003906,55.02203750610352,73.58378601074219,53.29770278930664,67.67514038085939,159.7713623046875,58.7988166809082,95.19342803955078,61.31560134887695,116.10099029541016,29.57475852966309,55.83641815185547,108.2397232055664,45.732460021972656,107.84590911865234,36.11823654174805,57.16679382324219,98.10617065429688,88.16622161865234,72.25101470947266,104.7422103881836,37.235050201416016,22.37605094909668,61.67945098876953,125.54651641845705,127.48849487304688,25.316326141357425,70.58512878417969,58.60694122314453
2016-01-06,23.323915481567386,49.32234573364258,54.22774887084961,72.61900329589844,51.85000610351562,67.02095794677734,155.87091064453125,57.95990753173828,94.68395233154295,59.61288833618164,114.8993148803711,28.91909599304199,56.39551162719727,107.69791412353516,45.10435104370117,106.74598693847656,35.923011779785156,56.26613235473633,96.83623504638672,87.72058868408203,69.39678955078125,104.03925323486328,36.898658752441406,22.137737274169922,61.166236877441406,123.55300903320312,124.92074584960938,24.867902755737305,69.50284576416016,57.31769180297852
2016-01-07,22.33953857421875,47.606788635253906,52.0348129272461,71.19112396240234,51.17070007324219,66.43560028076172,151.0802764892578,56.41405868530274,93.8726043701172,59.07616806030274,111.62360382080078,27.83506774902344,57.7088737487793,105.85741424560548,44.70853805541992,103.6034164428711,35.328826904296875,54.3288459777832,94.52720642089844,86.69824981689453,66.93763732910156,101.631591796875,36.69599533081055,21.627063751220703,60.18719863891602,118.37342834472656,121.8774642944336,24.70269203186035,70.84699249267578,55.16502380371094
